OrderDate	OrderID	CustomerID	CustomerName	OrderLineID	StockItemID	StockItemName	Quantity	UnitPrice
2016-03-22	68803	542	Wingtip Toys (Schererville, IN)	216485	49	Developer joke mug - this code was generated by a tool (Black)	10	13.00
2016-03-22	68804	37	Tailspin Toys (Kerby, OR)	216487	69	Ride on toy sedan car (Blue) 1/12 scale	7	230.00
2016-03-22	68804	37	Tailspin Toys (Kerby, OR)	216488	170	20 mm Anti static bubble wrap (Blue) 50m	50	102.00
2016-03-22	68804	37	Tailspin Toys (Kerby, OR)	216489	91	The Gu red shirt XML tag t-shirt (Black) XS	24	18.00
2016-03-22	68805	829	Jack Walker	216490	54	IT joke mug - that behavior is by design (White)	9	13.00
2016-03-22	68805	829	Jack Walker	216491	140	Furry animal socks (Pink) L	72	5.00
2016-03-22	68805	829	Jack Walker	216492	155	Large sized bubblewrap roll 50m	10	24.00
2016-03-22	68806	403	Wingtip Toys (Queen Valley, AZ)	216493	12	USB food flash drive - donut	5	3.20
2016-03-22	68806	403	Wingtip Toys (Queen Valley, AZ)	216494	175	Bubblewrap dispenser (Blue) 1.5m	7	240.00
2016-03-22	68806	403	Wingtip Toys (Queen Valley, AZ)	216495	36	Developer joke mug - when your hammer is C++ (White)	9	13.00
2016-03-22	68806	403	Wingtip Toys (Queen Valley, AZ)	216496	178	Shipping carton (Brown) 500x310x310mm	200	2.55
2016-03-22	68806	403	Wingtip Toys (Queen Valley, AZ)	216497	181	Shipping carton (Brown) 356x229x229mm	150	1.14
2016-03-22	68807	129	Tailspin Toys (Mineral Hills, MI)	216498	226	White chocolate snow balls 250g	120	8.55
2016-03-22	68807	129	Tailspin Toys (Mineral Hills, MI)	216499	194	Black and orange glass with care despatch tape  48mmx100m	96	4.10
2016-03-22	68807	129	Tailspin Toys (Mineral Hills, MI)	216500	40	Developer joke mug - (hip, hip, array) (White)	7	13.00
2016-03-22	68808	1036	Erik Malk	216501	159	20 mm Double sided bubble wrap 10m	30	18.00
2016-03-22	68808	1036	Erik Malk	216502	201	Red and white urgent despatch tape 48mmx75m	168	3.70
2016-03-22	68809	188	Tailspin Toys (Premont, TX)	216503	164	32 mm Double sided bubble wrap 50m	30	112.00
2016-03-22	68809	188	Tailspin Toys (Premont, TX)	216504	40	Developer joke mug - (hip, hip, array) (White)	9	13.00
2016-03-22	68809	188	Tailspin Toys (Premont, TX)	216505	119	Dinosaur battery-powered slippers (Green) M	6	32.00
2016-03-22	68809	188	Tailspin Toys (Premont, TX)	216506	209	Packing knife with metal insert blade (Yellow) 9mm	10	1.89
2016-03-22	68809	188	Tailspin Toys (Premont, TX)	216507	180	Shipping carton (Brown) 279x254x217mm	200	1.11
2016-03-22	68810	899	Chin-Sun Chang	216508	24	DBA joke mug - I will get you in order (White)	6	13.00
2016-03-22	68810	899	Chin-Sun Chang	216509	9	USB food flash drive - banana	2	32.00
2016-03-22	68810	899	Chin-Sun Chang	216510	105	Alien officer hoodie (Black) 4XL	8	35.00
2016-03-22	68810	899	Chin-Sun Chang	216511	46	Developer joke mug - a foo walks into a bar (White)	10	13.00
2016-03-22	68811	556	Wingtip Toys (Morita, TX)	216512	37	Developer joke mug - when your hammer is C++ (Black)	5	13.00
2016-03-22	68811	556	Wingtip Toys (Morita, TX)	216513	156	10 mm Double sided bubble wrap 10m	70	15.00
2016-03-22	68811	556	Wingtip Toys (Morita, TX)	216514	137	Animal with big feet slippers (Brown) XL	8	32.00
2016-03-22	68811	556	Wingtip Toys (Morita, TX)	216516	196	Black and orange handle with care despatch tape  48mmx100m	168	4.10
2016-03-22	68812	489	Wingtip Toys (Sayner, WI)	216517	219	Void fill 400 L bag (White) 400L	60	50.00
2016-03-22	68812	489	Wingtip Toys (Sayner, WI)	216518	224	Chocolate frogs 250g	168	8.55
2016-03-22	68813	957	Hee-Young Suh	216519	163	32 mm Double sided bubble wrap 20m	40	37.00
2016-03-22	68813	957	Hee-Young Suh	216520	96	The Gu red shirt XML tag t-shirt (Black) XXL	72	18.00
2016-03-22	68813	957	Hee-Young Suh	216521	124	Ogre battery-powered slippers (Green) L	2	32.00
